Agency,Agency Type,Distribution Channel,Product Name,Gender,Duration,Destination,Net Sales,Commision (in value),Age,Claim
EPX,Travel Agency,Online,Cancellation Plan,,12,THAILAND,11.0,0.0,54,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,12,SWITZERLAND,51.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,58,"KOREA, REPUBLIC OF",90.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,M,9,SINGAPORE,21.0,5.25,32,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,11,SINGAPORE,39.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,15,THAILAND,22.0,7.7,43,No
C2B,Airlines,Online,Silver Plan,M,5,SINGAPORE,22.5,5.63,38,No
EPX,Travel Agency,Online,Cancellation Plan,,2,SINGAPORE,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,3,THAILAND,17.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,9,SINGAPORE,20.0,5.0,61,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,14,SINGAPORE,20.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,40,MALAYSIA,21.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,35,INDONESIA,20.0,0.0,34,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,68,CHINA,25.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,17,SINGAPORE,29.5,7.38,27,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,36,SWITZERLAND,29.7,17.82,57,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,1,UNITED STATES,9.9,5.94,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,69,FRANCE,112.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,9,"TAIWAN, PROVINCE OF CHINA",26.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,16,CHINA,20.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,8,MYANMAR,18.0,6.3,27,No
EPX,Travel Agency,Online,Cancellation Plan,,4,CHINA,12.0,0.0,30,No
EPX,Travel Agency,Online,Cancellation Plan,,125,"TAIWAN, PROVINCE OF CHINA",14.0,0.0,30,No
EPX,Travel Agency,Online,Cancellation Plan,,25,MALAYSIA,10.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,7,AUSTRALIA,59.4,35.64,48,No
C2B,Airlines,Online,Bronze Plan,F,35,SINGAPORE,29.5,7.38,38,No
LWC,Travel Agency,Online,Annual Travel Protect Platinum,M,372,CHINA,264.0,171.6,48,No
C2B,Airlines,Online,Bronze Plan,M,26,SINGAPORE,34.5,8.63,34,No
EPX,Travel Agency,Online,Cancellation Plan,,24,MALAYSIA,10.0,0.0,38,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,76,AUSTRALIA,79.2,47.52,49,No
EPX,Travel Agency,Online,Cancellation Plan,,9,INDONESIA,0.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,55,HONG KONG,20.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,51,"KOREA, REPUBLIC OF",19.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,27,HONG KONG,28.0,0.0,26,No
EPX,Travel Agency,Online,Cancellation Plan,,181,AUSTRALIA,80.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,30,SINGAPORE,50.5,12.63,26,No
EPX,Travel Agency,Online,Cancellation Plan,,5,HONG KONG,22.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,M,10,THAILAND,30.0,10.5,43,No
EPX,Travel Agency,Online,Cancellation Plan,,26,CHINA,30.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,22,MYANMAR,16.0,0.0,36,No
C2B,Airlines,Online,Annual Silver Plan,F,364,SINGAPORE,252.85,63.21,30,No
EPX,Travel Agency,Online,Cancellation Plan,,34,HONG KONG,19.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,M,121,SINGAPORE,219.6,54.9,22,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,4,AUSTRALIA,9.9,5.94,33,No
JZI,Airlines,Online,Basic Plan,M,22,CHINA,44.0,15.4,33,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,14,CHINA,35.0,0.0,35,No
EPX,Travel Agency,Online,Cancellation Plan,,30,SINGAPORE,10.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,9,INDONESIA,40.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,10,VIET NAM,20.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,61,INDONESIA,18.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,69,NETHERLANDS,-39.6,23.76,31,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,30,"KOREA, REPUBLIC OF",19.8,11.88,25,No
EPX,Travel Agency,Online,Cancellation Plan,,67,THAILAND,10.0,0.0,39,No
EPX,Travel Agency,Online,Cancellation Plan,,7,SOUTH AFRICA,23.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,31,SINGAPORE,11.0,0.0,36,No
TST,Travel Agency,Offline,Travel Cruise Protect,F,5,THAILAND,30.0,10.5,62,No
EPX,Travel Agency,Online,Cancellation Plan,,16,NEW ZEALAND,56.0,0.0,35,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,21,VIET NAM,22.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,48,HONG KONG,15.0,0.0,36,No
JWT,Airlines,Online,Value Plan,M,17,INDIA,39.0,15.6,118,No
JZI,Airlines,Online,Basic Plan,F,53,AUSTRALIA,26.0,9.1,28,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,245,UNITED KINGDOM,29.7,17.82,32,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,5,MALAYSIA,20.0,0.0,33,No
JZI,Airlines,Online,Basic Plan,M,7,MALAYSIA,22.0,7.7,45,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,11,PHILIPPINES,20.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,8,INDONESIA,20.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,6,MALAYSIA,10.0,0.0,36,No
RAB,Airlines,Online,Value Plan,,327,BRUNEI DARUSSALAM,15.0,6.0,57,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,8,MALAYSIA,20.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,62,UNITED STATES,69.3,41.58,41,No
EPX,Travel Agency,Online,Cancellation Plan,,6,VIET NAM,16.0,0.0,36,No
JWT,Airlines,Online,Value Plan,M,1,INDIA,42.0,16.8,118,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,25,"KOREA, REPUBLIC OF",-30.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,16,INDIA,39.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,M,23,SINGAPORE,13.5,3.38,30,No
C2B,Airlines,Online,Silver Plan,M,6,SINGAPORE,30.0,7.5,32,No
C2B,Airlines,Online,Bronze Plan,F,6,SINGAPORE,23.4,5.85,26,No
EPX,Travel Agency,Online,Cancellation Plan,,23,CHINA,15.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,13,AUSTRALIA,19.8,11.88,31,No
C2B,Airlines,Online,Bronze Plan,F,31,SINGAPORE,22.1,5.53,24,Yes
EPX,Travel Agency,Online,2 way Comprehensive Plan,,15,FRANCE,81.0,0.0,36,No
RAB,Airlines,Online,Value Plan,M,4,BRUNEI DARUSSALAM,15.0,6.0,41,No
JWT,Airlines,Online,Value Plan,F,15,INDIA,50.0,20.0,118,No
EPX,Travel Agency,Online,Cancellation Plan,,37,CHINA,22.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,21,UNITED KINGDOM,19.8,11.88,47,No
JWT,Airlines,Online,Value Plan,F,22,INDIA,39.0,15.6,118,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,8,VIET NAM,20.0,0.0,32,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,49,AUSTRALIA,59.4,35.64,31,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,42,"TAIWAN, PROVINCE OF CHINA",29.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,7,MALAYSIA,20.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,7,PHILIPPINES,29.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,32,VIET NAM,20.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,5,INDONESIA,35.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,58,"KOREA, REPUBLIC OF",112.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,138,"TAIWAN, PROVINCE OF CHINA",20.0,0.0,35,No
EPX,Travel Agency,Online,Cancellation Plan,,20,CHINA,29.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,F,4,SINGAPORE,18.5,4.63,28,No
JZI,Airlines,Online,Basic Plan,M,9,THAILAND,22.0,7.7,69,No
EPX,Travel Agency,Online,Cancellation Plan,,5,BANGLADESH,10.0,0.0,32,No
EPX,Travel Agency,Online,Cancellation Plan,,20,SINGAPORE,0.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,M,6,SINGAPORE,21.0,5.25,29,No
JZI,Airlines,Online,Basic Plan,F,52,PHILIPPINES,37.0,12.95,34,No
EPX,Travel Agency,Online,Cancellation Plan,,7,SINGAPORE,18.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,22,ARGENTINA,32.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,16,INDONESIA,10.0,0.0,22,No
JZI,Airlines,Online,Basic Plan,F,28,CHINA,35.0,12.25,61,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,43,INDONESIA,22.0,0.0,38,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,12,CHINA,38.0,0.0,36,No
KML,Travel Agency,Online,Value Plan,F,36,POLAND,95.0,36.1,48,No
JZI,Airlines,Online,Basic Plan,M,59,CHINA,40.0,14.0,62,No
KML,Travel Agency,Online,Value Plan,F,79,INDONESIA,22.0,8.36,48,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,55,"TAIWAN, PROVINCE OF CHINA",20.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,18,HONG KONG,69.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,6,AUSTRALIA,39.6,23.76,28,No
EPX,Travel Agency,Online,Cancellation Plan,,112,AUSTRALIA,48.0,0.0,36,No
JZI,Airlines,Online,Value Plan,F,6,UNITED KINGDOM,67.0,23.45,61,No
EPX,Travel Agency,Offline,2 way Comprehensive Plan,,11,"TAIWAN, PROVINCE OF CHINA",33.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,6,CHINA,57.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,59,GERMANY,21.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,32,CHINA,26.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,8,"TAIWAN, PROVINCE OF CHINA",38.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,96,SINGAPORE,0.0,17.82,31,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,42,SPAIN,59.4,35.64,46,No
EPX,Travel Agency,Online,Cancellation Plan,,6,MALAYSIA,11.0,0.0,50,No
C2B,Airlines,Online,Bronze Plan,F,11,SINGAPORE,35.5,8.88,32,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,21,PHILIPPINES,20.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,38,MALAYSIA,20.0,0.0,27,No
EPX,Travel Agency,Online,Cancellation Plan,,2,MYANMAR,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,55,CANADA,80.0,0.0,52,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,18,NEW ZEALAND,138.6,83.16,51,No
C2B,Airlines,Online,Bronze Plan,M,12,SINGAPORE,29.5,7.38,25,No
C2B,Airlines,Online,Bronze Plan,M,34,SINGAPORE,23.5,5.88,27,No
CSR,Travel Agency,Offline,Comprehensive Plan,F,38,THAILAND,29.0,9.57,84,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,37,MYANMAR,38.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,2,PHILIPPINES,20.0,0.0,34,No
C2B,Airlines,Online,Annual Silver Plan,M,370,SINGAPORE,187.85,46.96,43,No
JZI,Airlines,Online,Basic Plan,M,16,INDONESIA,22.0,7.7,58,No
EPX,Travel Agency,Online,Cancellation Plan,,22,MYANMAR,10.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,16,"KOREA, REPUBLIC OF",29.7,17.82,28,No
JZI,Airlines,Online,Basic Plan,F,83,THAILAND,30.0,10.5,20,No
EPX,Travel Agency,Online,Cancellation Plan,,90,THAILAND,12.0,0.0,36,No
LWC,Travel Agency,Online,Annual Travel Protect Silver,F,364,CHINA,165.0,107.25,61,No
EPX,Travel Agency,Online,Cancellation Plan,,60,MALAYSIA,34.0,0.0,25,No
JZI,Airlines,Online,Basic Plan,M,22,CHINA,22.0,7.7,54,No
JWT,Airlines,Online,Value Plan,F,34,INDIA,39.0,15.6,118,No
EPX,Travel Agency,Online,Cancellation Plan,,222,UNITED KINGDOM,80.0,0.0,36,No
ART,Airlines,Online,24 Protect,M,17,PHILIPPINES,2.38,0.83,48,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,20,MALAYSIA,39.6,23.76,39,No
JZI,Airlines,Online,Basic Plan,F,3,CHINA,22.0,7.7,41,No
C2B,Airlines,Online,Annual Gold Plan,M,387,SINGAPORE,0.0,97.34,60,No
EPX,Travel Agency,Online,Cancellation Plan,,6,UNITED STATES,36.0,0.0,57,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,11,THAILAND,38.0,0.0,38,No
C2B,Airlines,Online,Bronze Plan,F,13,SINGAPORE,20.0,5.0,27,No
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,F,22,"KOREA, REPUBLIC OF",26.5,17.23,76,Yes
C2B,Airlines,Online,Bronze Plan,M,11,SINGAPORE,47.0,11.75,33,No
EPX,Travel Agency,Online,Cancellation Plan,,14,"TAIWAN, PROVINCE OF CHINA",80.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,36,SINGAPORE,53.5,13.38,27,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,6,"KOREA, REPUBLIC OF",20.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,3,UNITED STATES,17.0,0.0,19,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,24,JAPAN,34.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,M,8,SINGAPORE,16.0,4.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,4,SINGAPORE,9.9,5.94,50,No
JZI,Airlines,Online,Basic Plan,M,55,VIET NAM,18.0,6.3,27,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,1,THAILAND,20.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,13,AUSTRALIA,0.0,35.64,42,No
SSI,Airlines,Online,Ticket Protector,,319,SINGAPORE,28.14,7.89,48,No
EPX,Travel Agency,Online,Cancellation Plan,,5,SINGAPORE,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,35,THAILAND,-44.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,M,109,HONG KONG,26.0,9.1,66,No
EPX,Travel Agency,Online,Cancellation Plan,,12,PHILIPPINES,11.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,37,"KOREA, REPUBLIC OF",40.0,14.0,23,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,16,"TAIWAN, PROVINCE OF CHINA",38.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,50,PHILIPPINES,20.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,49,INDIA,20.0,0.0,23,No
EPX,Travel Agency,Online,Cancellation Plan,,28,CHINA,26.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,30,NEW ZEALAND,-99.0,59.4,40,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,6,HONG KONG,45.0,0.0,58,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,9,AUSTRALIA,39.6,23.76,31,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,6,SINGAPORE,20.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,80,"KOREA, REPUBLIC OF",29.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,6,MALAYSIA,29.7,17.82,26,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,9,LAO PEOPLE'S DEMOCRATIC REPUBLIC,112.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,60,AUSTRALIA,29.7,17.82,27,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,292,NETHERLANDS,54.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,5,VIET NAM,20.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,27,SINGAPORE,23.5,5.88,40,No
C2B,Airlines,Online,Annual Silver Plan,M,420,SINGAPORE,216.0,54.0,37,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,310,PHILIPPINES,38.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,22,SINGAPORE,79.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,70,MACAO,23.0,0.0,57,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,23,MALAYSIA,20.0,0.0,32,No
TST,Travel Agency,Offline,Travel Cruise Protect,F,72,MALAYSIA,30.0,10.5,52,No
JZI,Airlines,Online,Basic Plan,M,68,JAPAN,26.0,9.1,31,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,60,JAPAN,36.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,42,GREECE,89.1,53.46,31,No
JWT,Airlines,Online,Value Plan,M,31,INDIA,60.0,24.0,118,No
SSI,Airlines,Online,Ticket Protector,,61,SINGAPORE,1.61,0.45,48,No
JZI,Airlines,Online,Basic Plan,M,225,MALI,49.0,17.15,56,No
JZI,Airlines,Online,Basic Plan,F,74,THAILAND,22.0,7.7,53,No
EPX,Travel Agency,Online,Cancellation Plan,,21,JAPAN,19.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,12,HONG KONG,17.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,24,GERMANY,138.6,83.16,44,No
C2B,Airlines,Online,Annual Silver Plan,M,367,SINGAPORE,216.0,54.0,33,No
EPX,Travel Agency,Online,Cancellation Plan,,21,"KOREA, REPUBLIC OF",24.0,0.0,34,No
EPX,Travel Agency,Online,Cancellation Plan,,8,THAILAND,25.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,25,CAMBODIA,63.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,F,17,SINGAPORE,109.0,27.25,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,17,THAILAND,99.0,59.4,56,No
JWT,Airlines,Online,Value Plan,M,1,INDIA,31.0,12.4,118,No
EPX,Travel Agency,Online,Cancellation Plan,,23,MALAYSIA,10.0,0.0,39,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,29,THAILAND,26.0,0.0,54,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,33,HONG KONG,42.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,6,"TAIWAN, PROVINCE OF CHINA",38.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,49,AUSTRALIA,79.2,47.52,43,No
C2B,Airlines,Online,Bronze Plan,F,95,SINGAPORE,18.0,4.5,37,No
EPX,Travel Agency,Online,Cancellation Plan,,18,MYANMAR,19.0,0.0,36,No
JWT,Airlines,Online,Value Plan,M,15,INDIA,60.0,24.0,118,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,17,AUSTRALIA,0.0,65.34,35,No
C2B,Airlines,Online,Silver Plan,F,63,SINGAPORE,70.85,17.71,25,No
JZI,Airlines,Online,Basic Plan,F,48,PHILIPPINES,37.0,12.95,38,No
EPX,Travel Agency,Online,Cancellation Plan,,70,UNITED STATES,80.0,0.0,28,No
EPX,Travel Agency,Online,Cancellation Plan,,19,MALAYSIA,10.0,0.0,25,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,40,FRANCE,101.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,14,SINGAPORE,13.5,3.38,43,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,17,UNITED KINGDOM,0.0,17.82,39,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,33,MALAYSIA,39.6,23.76,33,No
JZI,Airlines,Online,Basic Plan,F,9,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,46,No
CCR,Travel Agency,Offline,Comprehensive Plan,F,43,MALAYSIA,29.0,9.57,87,No
EPX,Travel Agency,Online,Cancellation Plan,,84,CHINA,14.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,131,MALAYSIA,30.0,10.5,45,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,4,INDONESIA,20.0,0.0,26,No
EPX,Travel Agency,Online,Cancellation Plan,,47,HONG KONG,18.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,70,JAPAN,78.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,6,INDIA,23.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,4,CHINA,30.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,7,SINGAPORE,34.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,192,CANADA,-80.0,0.0,37,No
RAB,Airlines,Online,Value Plan,M,6,BRUNEI DARUSSALAM,15.0,6.0,48,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,F,39,UNITED KINGDOM,76.0,49.4,31,No
JZI,Airlines,Online,Basic Plan,F,68,THAILAND,22.0,7.7,40,No
EPX,Travel Agency,Online,Cancellation Plan,,3,SINGAPORE,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,15,SINGAPORE,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,4,HONG KONG,21.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,14,THAILAND,16.0,0.0,46,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,35,HONG KONG,34.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,100,GERMANY,71.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,26,"KOREA, REPUBLIC OF",29.7,17.82,31,No
C2B,Airlines,Online,Annual Silver Plan,F,378,SINGAPORE,216.0,54.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,8,VIET NAM,14.0,0.0,36,No
KML,Travel Agency,Online,Value Plan,M,96,INDONESIA,33.0,12.54,48,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,43,JAPAN,20.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,2,PHILIPPINES,18.0,6.3,47,No
EPX,Travel Agency,Online,Cancellation Plan,,20,THAILAND,16.0,0.0,40,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,58,UNITED KINGDOM,79.2,47.52,44,No
EPX,Travel Agency,Online,Cancellation Plan,,4,THAILAND,15.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,13,INDONESIA,12.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,22,AUSTRALIA,26.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,4,NEW ZEALAND,29.7,17.82,57,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,15,VIET NAM,51.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,56,JAPAN,50.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,F,99,SINGAPORE,157.0,39.25,49,No
C2B,Airlines,Online,Annual Silver Plan,M,364,SINGAPORE,216.0,54.0,39,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,13,INDONESIA,20.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,16,CHINA,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,2,MALAYSIA,10.0,0.0,35,No
EPX,Travel Agency,Online,Cancellation Plan,,10,"KOREA, REPUBLIC OF",23.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,80,UNITED STATES,10.0,0.0,29,No
C2B,Airlines,Online,Annual Gold Plan,M,364,SINGAPORE,399.6,99.9,29,No
EPX,Travel Agency,Online,Cancellation Plan,,4,AUSTRALIA,38.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,7,SINGAPORE,10.0,0.0,36,No
ART,Airlines,Online,24 Protect,M,4,PHILIPPINES,46.16,16.16,48,No
JZI,Airlines,Online,Basic Plan,M,13,CHINA,26.0,9.1,26,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,7,MALAYSIA,20.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,14,JAPAN,13.0,0.0,24,No
EPX,Travel Agency,Online,Cancellation Plan,,48,THAILAND,12.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,7,VIET NAM,10.0,0.0,36,No
JZI,Airlines,Online,Value Plan,M,4,NEW ZEALAND,36.0,12.6,65,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,6,THAILAND,19.8,11.88,31,No
C2B,Airlines,Online,Annual Silver Plan,F,365,SINGAPORE,389.0,97.25,27,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,68,NEW ZEALAND,112.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,16,THAILAND,22.0,7.7,47,No
EPX,Travel Agency,Online,Cancellation Plan,,38,CZECH REPUBLIC,59.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,4,UNITED STATES,29.7,17.82,40,No
EPX,Travel Agency,Online,Cancellation Plan,,7,SINGAPORE,39.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,28,UNITED KINGDOM,267.3,160.38,41,No
EPX,Travel Agency,Online,Cancellation Plan,,4,THAILAND,12.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,128,UNITED KINGDOM,84.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,F,8,SINGAPORE,39.0,9.75,30,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,136,SPAIN,0.0,5.94,31,No
JZI,Airlines,Online,Basic Plan,M,23,CHINA,44.0,15.4,56,No
JZI,Airlines,Online,Basic Plan,M,14,THAILAND,18.0,6.3,38,No
JWT,Airlines,Online,Value Plan,F,75,INDIA,31.0,12.4,118,No
